Program,ID,Name,Dscription,Comments,Program/Accelerator Interim Director review,Complementarity of Results SI,Efficiencies/Strategic Benefit SI,Budget allocation from Project to Program,Total Budget for this Program,Total approximate project remaining budget,Project Summary,Project results,Start Date,End Date,Center,Location,Countries,Source of funding,Funder
Breeding for Tomorrow,251,S0003 -Piloting a Private-Public Genotyping Consortium for Crops in LMICs,Piloting a Private-Public Genotyping Consortium for Crops in LMICs,,Agree,High,High,1,1727603,1727603,"The ShelfPlus – Reducing Millet Rancidity through Gene Editing project is a CIMMYT-led initiative funded by the Bill & Melinda Gates Foundation (BMGF) to enhance the shelf-life and nutritional value of millet flour. The project focuses on gene editing technologies to mitigate rancidity in milled millet, a key challenge that reduces its storage potential and marketability. By identifying and modifying genetic pathways that influence lipid oxidation, the initiative aims to improve millet’s post-harvest stability, ensuring longer usability for consumers and processors. CIMMYT collaborates with breeding institutions, food scientists, and regulatory bodies to facilitate the development and adoption of these innovations. The project includes capacity-building efforts, regulatory compliance guidance, and knowledge dissemination to promote the responsible use of gene editing in food systems. By extending millet’s shelf life, ShelfPlus supports food security, market competitiveness, and economic opportunities for smallholder farmers and agri-food industries.",,21-Nov-24,30-Dec-27,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,country,,Window 3,
Breeding for Tomorrow,300,N-344002- BIOTECHNOLOGY INNOVATIONS FOR FOOD SECURITY: AN ENABLING POLICY PLATFORM,,,,,,1,,,,,,,,,,,
Breeding for Tomorrow,226,D-200394-Program 2- International host / pathogen Differential Sets:,Program 2- International host / pathogen Differential Sets: Effective Genetic and Sustinable Management of Ascochyta Blight of Chickpea - Phase 2,,Agree,High,Med,0.5,341430.0451,341430.0451,"TRANSFORMED aims to support and promote a largescale adoption of successful agroforestry systems (AFS) in saline and degraded areas to restore soil health, increase biodiversity and productivity of the agroecosystems by overcoming the identified barriers for large-scale implementation.
The project raises awareness and facilitates knowledge transfer and capacity building of the potential of AFS for soil restoration and productivity for farmers and farmers associations, researchers, NGOs, private sector and policy makers. In addition, the project develops and strengthens governance arrangements at community level while co-developing a knowledge sharing and innovation upscaling strategy capitalizing on the existing and new knowledge created to maximize the successful adoption of AFS and a broad multistakeholder support. TRANSFORMED will build up on already AFS designs practiced by pioneer farmers or investigated at on-farm research trials that have been proven to increase the productivity of highly degraded land and improve soil health.",,30-Jun-24,29-Jun-27,International Center for Agricultural Research in the Dry Areas,global,,Bilateral,
Breeding for Tomorrow,293,T-PJ-004023-VACS-Breeding: TARO,PJ-004023: VACS-Breeding: TARO,,Agree,Med,Med,0.5,242541,485082,"This project aims to enhance agrifood systems by developing and delivering productive, climate-resilient and nutrient-dense taro varieties in Nigeria, Ghana, Ethiopia and Mozambique. The primary objectives are to boost productivity, improve nutritional content and commercialize climate-resilient taro varieties for smallholder farmers. Key outputs of this project include defined taro market segments, established breeding networks, detailed germplasm reports and robust breeding systems. Additionally, this project will produce a significant quantity of seeds, train numerous individuals and strengthen market linkages among taro farmers. Activities in this project include conducting workshops, identifying market segments, developing product profiles and characterizing taro germplasm.",,30-Jun-24,29-Jun-26,International Institute of Tropical Agriculture,,,Bilateral,
Breeding for Tomorrow,294,T-PJ-004017-VACS-Breeding: Bambara,PJ-004017: VACS-Breeding: Bambara,,Agree,Med,Med,0.5,320538,641076,"This project aims to enhance the development and dissemination of Bambara groundnut varieties through a gender-responsive approach that prioritizes nutrition traits. By establishing the PAN African Bambara Breeding Network (PABBN), the initiative will facilitate collaboration and knowledge sharing across regions. Germplasm development will be guided by target product profiles, ensuring that the resulting varieties meet the specific needs of different communities, thereby improving food security and resilience across Africa.","Establish Bambara breeding networks, defined market segments, target product profiles, set up breeding systems (BMS) and characterized germplasm. To also deliver MET, on-farm and DUS reports, produce seeds, train personnel, submit progress reports, analyze sales data, strengthen market linkages and release high-yielding, resilient and nutrient-dense Bambara varieties for commercialization.",30-Jun-24,29-Jun-26,International Institute of Tropical Agriculture,,,Bilateral,
Breeding for Tomorrow,283,T-PJ-003575-Mining useful alleles for climate change adaptat,Mining useful alleles for climate change adaptation in Cassava from CGIAR gene banks,,Agree,Med,Med,0.5,486721,973442,,,31-Dec-21,30-Dec-26,International Institute of Tropical Agriculture,,Nigeria,Window 3,
Breeding for Tomorrow,80,P-1520-GOO0-Sustainable Intensification of Potato for Achiev,Sustainable Intensification of Potato for Achieving Self-Sufficiency in Odisha,,Agree,Med,Med,0.5,666466.5,1332933,"Project objective: to establish a sustainable local seed production supply chain and scale up SFLF group farming to cover key potato growing districts. Our ambitious 2026 target is to double the potato acreage from 37,000 acres to 74,000 acres, with additional production of nearly 400,000 tons both though additional acreage and improved productivity on existing acreage. 
CIP, in partnership with the DoH, aims at the following specific objectives:
- Expand SFLF group potato cultivation to cover 5,100 acres by the end of 2026.
- Organize exposure visits for farmers to SFLF sites, facilitate use of quality seeds and improved production practices on an additional 10,000 acres by 2026.
- Sustainable Intensification of Potato for Achieving Self-Sufficiency in OdishaProject report (December 2022–March 2024)
- Expand local seed production through apical rooted cuttings and net-house seed multiplications to produce 30–50 percent of the state's seed requirements.
- Strengthen capacity of potato growers, horticultural staff, and scientists, in seed, processing, and table potato production-related technologies.",,11-Jan-22,29-Nov-26,International Potato Center / Centro Internacional de la Papa,,India,Bilateral,
Breeding for Tomorrow,31,T-PJ-003255-Building Economically Sustainable Seed Systems f,Building Economically Sustainable Seed Systems for Cassava (BASICS-II),,Agree,Med,Med,0.4,596863.176,1492157.94,,"The BASICS-II Project successfully strengthened cassava seed systems in Nigeria and Tanzania, establishing sustainable seed enterprises, supporting decentralized cassava seed entrepreneurs (CSEs), and engaging processors in seed production. Policies and regulatory frameworks were enhanced, and new varieties gained rapid adoption. Collaboration across partners ensured quality control and market linkages. The model was extended to Sierra Leone and Liberia, with SeedTracker playing a key role in monitoring and sustainability efforts.",14-May-20,30-May-25,International Institute of Tropical Agriculture,,Nigeria,Window 3,
Breeding for Tomorrow,281,A1172Crops to End Hunger,Crops to End Hunger,,Agree,High,High,1,16716656,16716656,"The CGIAR system aims to advance sustainable development goals, especially SDG 2, which targets ending hunger and promoting sustainable agriculture. The ""11 Crops to End Hunger"" initiative seeks to enhance CGIAR’s crop breeding effectiveness by partnering with national agricultural research systems (NARS) to develop and deliver high-yielding, resilient, and nutritious staple crops for smallholder farmers. This initiative focuses on leveraging CGIAR’s strengths in plant breeding and crop biodiversity conservation. By introducing superior crop varieties, the program aims to boost productivity, resilience, and profitability, addressing both consumer preferences and climate challenges while continually improving genetic gain in agriculture.",,31-Dec-18,30-Dec-25,International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo,,,Window 3,Deutsche Gesellschaft für Internationale Zusammenarbeit / German Society for International Cooperation
Breeding for Tomorrow,286,1525-CIMM  CtEH-26: A Global Breeding Analytics Unit to accelerate the delivery of superior genetic gains on farmer’s fields,CtEH-26: A Global Breeding Analytics Unit to accelerate the delivery of superior genetic gains on farmer’s fields; CN-CtEH-14: Investing in Sweetpotato breeding networks to mitigate climate change Modernizing; CN-CtEH-15 & CN-CtEH-16,,Agree,Med,Med,1,1800000,1800000,"The purpose of the project “Crops to End Hunger” (CtEH) is to increase the effectiveness of CGIAR’s crop breeding programs, in partnership with National Agricultural Research and Extension Systems (NARES), in developing and delivering more productive, resilient, and nutritious varieties of staple crops in demand by smallholder farmers and consumers in various geographic regions of the developing world. Under the “Crops to End Hunger” (CtEH) project, CIP declares its desire to also collaborate and contribute to the following Research Projects: CN-CtEH-14: Investing in (sweet)potato breeding networks to mitigate climate change Modernizing; CN-CtEH-15: Upgrading CIP-NARS East Africa potato breeding hub infrastructure; CN-CteH-16: Regional Germplasm Hub for Vegetatively Propagated Crops @ KEPHIS Muguga).",,22-Feb-23,30-Dec-24,International Potato Center / Centro Internacional de la Papa,,"Kenya, Peru",Bilateral,
Breeding for Tomorrow,296,1598-ARC1  Food resilience in Madagascar,APPUI A LA TRANSFORMATION ET A LA RESILIENCE DES SYSTEMES ALIMENTAIRES DE MADAGASCAR A TRAVERS LA RECHERCHE POUR LE DEVELOPPEMENT,,Agree,Med,Med,1,783830,783830,,,30-Sep-24,29-Nov-26,International Potato Center / Centro Internacional de la Papa,,Madagascar,Bilateral,Africa Rice Center
Breeding for Tomorrow,272,BIUSA (Bezos Earth Fund)-Using genetic diversity to capture carbon through deep root systems in tropical soils  (Research and Capacity development),"Both description and project summary both filled. The “Using Genetic Diversity to Capture Carbon Through Deep Root Systems in Tropical Soils” project focuses on leveraging genetic diversity to develop new root ideotypes of tropical forage grass and rice. The goal is to enhance carbon assimilation via photosynthesis and deep rooting ability, contributing to increased carbon storage in tropical soils. The project aims to support the completion and maintenance of the Future Seeds facility, develop novel high-throughput phenotyping methods to evaluate genetic diversity in deep rooting ability, and build capacity for conducting research on root systems and soil carbon storage in tropical regions. Scope and Activities:
1. Development and Phenotyping:
o Develop high-throughput phenotyping methods to screen and evaluate genetic diversity in root systems of tropical forage grass and rice.
o Identify and improve forage and rice genotypes with deep rooting traits to enhance soil organic carbon (SOC) storage.
2. Research and Innovation:
o Conduct field trials to test the performance of new genotypes in different agroecological niches.
o Apply gene editing technologies to improve root traits and photosynthetic efficiency.
3. Capacity Building and Dissemination:
o Train young researchers in genetic diversity and carbon farming.
o Develop and implement strategies to disseminate improved root ideotypes to farmers in tropical regions.
4. Impact and Monitoring:
o Monitor the impact of deep-rooted genotypes on SOC storage and agricultural productivity.
o Evaluate the benefits of carbon removal from the atmosphere and its implications for climate change mitigation.",,Agree,High,High,0.8,2571042.984,3213803.73,"The ""Using Genetic Diversity to Capture Carbon Through Deep Root Systems in Tropical Soils"" project aims to enhance carbon storage in tropical soils by developing new root ideotypes of tropical forage grasses and rice. By leveraging genetic diversity, the project seeks to improve carbon assimilation and deep rooting traits, contributing to increased soil organic carbon storage. The project will develop high-throughput phenotyping methods, conduct field trials, and apply gene editing technologies to enhance root systems. Additionally, it aims to build research capacity and disseminate improved genotypes to farmers. Expected outcomes include improved soil health, increased agricultural productivity, and significant contributions to climate change mitigation through enhanced carbon sequestration.",,23-May-22,30-Dec-27,Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical),,Colombia,BILATERAL - RESTRICTED,
